customer_key,customer_number,name,age,age_group,customer_segment,last_order_date,recency,avg_order_value,avg_monthly_spending,total_orders,total_products,total_quantity,total_sales,lifespan
1,AW00011000,Jon Yang,54,40-59,VIP,2013-05-03,143,2749,294,3,8,8,8249,28
2,AW00011001,Eugene Huang,49,40-59,VIP,2013-12-10,136,2128,182,3,10,11,6384,35
3,AW00011002,Ruben Torres,54,40-59,VIP,2013-02-23,146,2704,324,3,4,4,8114,25
4,AW00011003,Christy Zhu,52,40-59,VIP,2013-05-10,143,2713,280,3,9,9,8139,29
5,AW00011004,Elizabeth Johnson,46,40-59,VIP,2013-05-01,143,2732,292,3,6,6,8196,28
6,AW00011005,Julio Ruiz,49,40-59,VIP,2013-05-02,143,2707,280,3,6,6,8121,29
7,AW00011006,Janet Alvarez,49,40-59,VIP,2013-05-14,143,2706,289,3,5,5,8119,28
8,AW00011007,Marco Mehta,56,40-59,VIP,2013-03-19,145,2737,315,3,8,8,8211,26
9,AW00011008,Rob Verhoff,50,40-59,VIP,2013-03-02,145,2702,311,3,7,7,8106,26
10,AW00011009,Shannon Carlson,56,40-59,VIP,2013-05-09,143,2697,288,3,5,5,8091,28
11,AW00011010,Jacquelyn Suarez,56,40-59,VIP,2013-05-23,143,2696,288,3,4,4,8088,28
12,AW00011011,Curtis Lu,56,40-59,VIP,2013-03-19,145,2711,301,3,4,4,8133,27
13,AW00011012,Lauren Walker,46,40-59,New,2013-10-15,138,40,11,2,5,5,81,7
14,AW00011013,Ian Jenkins,46,40-59,New,2014-01-21,135,57,12,2,5,5,114,9
15,AW00011014,Sydney Bennett,52,40-59,New,2013-04-30,144,69,138,2,5,6,138,1
16,AW00011015,Chloe Young,41,40-59,New,2013-01-18,147,2501,2501,1,3,3,2501,0
17,AW00011016,Wyatt Hill,41,40-59,New,2013-02-09,146,2332,2332,1,3,3,2332,0
18,AW00011017,Shannon Wang,76,60 and above,VIP,2013-10-14,138,2144,194,3,4,4,6434,33
19,AW00011018,Clarence Rai,70,60 and above,VIP,2013-10-24,138,2177,197,3,7,7,6533,33
20,AW00011019,Luke Lal,42,40-59,New,2014-01-12,135,51,80,17,20,33,880,11
21,AW00011020,Jordan King,41,40-59,New,2012-12-29,148,2317,2317,1,2,2,2317,0
22,AW00011021,Destiny Wilson,41,40-59,New,2013-01-23,147,2372,2372,1,3,3,2372,0
23,AW00011022,Ethan Zhang,41,40-59,New,2013-01-20,147,2322,2322,1,2,2,2322,0
24,AW00011023,Seth Edwards,41,40-59,New,2014-01-14,135,61,11,2,6,6,122,11
25,AW00011024,Russell Xie,41,40-59,New,2013-07-26,141,28,56,2,5,6,56,1
26,AW00011025,Alejandro Beck,74,60 and above,VIP,2013-10-25,138,2192,199,3,6,6,6577,33
27,AW00011026,Harold Sai,74,60 and above,VIP,2013-10-15,138,2191,199,3,7,7,6575,33
28,AW00011027,Jessie Zhao,73,60 and above,VIP,2013-10-24,138,2197,199,3,9,9,6591,33
29,AW00011028,Jill Jimenez,74,60 and above,VIP,2013-10-07,138,2158,196,3,5,5,6474,33
30,AW00011029,Jimmy Moreno,73,60 and above,VIP,2013-11-11,137,2188,193,3,7,7,6565,34
